"","Taxonomic Group","SW Suisun","NW Suisun","East Suisun","Suisun Marsh","Confluence"
"1","acartela",0.465705916702861,0.611919075534221,0.694112805349761,0.790477469750254,0.811028373359435
"2","allcopnaup",0.390359801567109,0.440230937726866,0.502134016752689,0.392409244881649,0.476523394024795
"3","daphnia",0.572938880668291,0.693803237494756,0.702164628989199,0.492213195482504,0.604017509130272
"4","eurytem",0.642631165852332,0.642359245682975,0.684839923012498,0.712663527869412,0.680070219021463
"5","limno",0.342854764146917,0.703245770591118,0.703126652643376,0.692696455286862,0.747752931056531
"6","othcalad",0.381817228306827,0.418748534203505,0.354036971071825,0.527003223651483,0.567248634141702
"7","othcaljuv",0.311217974185572,0.484420260940052,0.49782919525064,0.449963498346099,0.650137183921037
"8","othclad",0.705697565722963,0.766733883954693,0.76978162957754,0.55416240108049,0.685793990746296
"9","othcyc",0.132143715808268,0.200251585719156,0.290420120493613,0.191353219658477,0.27785607200238
"10","other",0.259203469146916,0.113413438791695,0.294963911563894,0.245092969301626,0.379273178412134
"11","pdiapfor",0.580815847334632,0.607278233552869,0.656531160627133,0.684175246136875,0.694351017073025
